,,,,,,,Page 13,,A. STATEMENT OF REVENUES AND EXPENSES,,,,
,,,,,,,,,Current Tax Year,Proposed,Proposed,Proposed,Actuals
,,,,,,,,,1/1/2025,Present to,1/1/2026,1/1/2027,1/1/2024
,,,,,23,63000,  Program #3 Expense consumable (provide a list),,$0,$0,$0,$0,
,,,,,23,63500,  Program #3 Expense non-consumable (empirical studies; costs for experimental participants and technical infrastructure to run studies),,$0,$0,"$20,000","$50,000",
,,,,,23,64000,  Program #4 Expense non-consumable (provide a list),,$0,$0,$0,$0,
,,,,,23,64500,  Program #4 Expense consumable (provide a list),,$0,$0,$0,$0,
,,,,,23,65000,  Program #5 Expense non-consumable (provide a list),,$0,$0,$0,$0,
,,,,,23,65500,  Program #5 Expense consumable (provide a list),,$0,$0,$0,$0,
,,,,,23,49150,      Non-Inventory Sales-- Cost of goods sold,,$0,$0,$0,$0,
,,,,,23,49250,      Cost of Goods Sold,,$0,$0,$0,$0,
,,,,,,,Subtotal Line 23,,"$7,220","$44,035","$515,307","$740,900",
,,,,,,,Total Expenses,,"$53,556","$140,410","$810,307","$1,185,900",
,,,,,,,,,,,,,
,,,,,,,Page 14,, B. BALANCE SHEET ,,,,
,,,,,,,,,,,,,
,,,,,,,,,Year end:,,,,
,,,,,,ASSETS,,,12/31/20YY,,,,
,,,,,,10000,Checking (Cash),,,,,,
,,,,,1,10100,Cash in Bank- Operating,,,,,,
,,,,,1,10300,Savings & Short Term Investments,,,,,,
,,,,,2,11000,Accounts Receivable,,,,,,
,,,,,,13000,Other Receivables,,,,,,
,,,,,2,13100,"Receivables from O, D/T, KE",,,,,,
,,,,,6,13200,Notes & Loans Receivable,,,,,,
,,,,,,14000,Other Assets,,,,,,
,,,,,3,14100,Inventories for Sale,,,,,,
,,,,,3,14200,Inventories for Use,,,,,,
,,,,,,15000,Investments,,,,,,
,,,,,,15100,Marketable Securities,,,,,,
,,,,,7,15400,Investments-- Other,,,,,,
,,,,,,16000,Fixed Operating Assets,,,,,,
,,,,,9,16100,Land- Operating,,,,,,
,,,,,9,16200,Land Improvements,,,,,,
,,,,,8,16250,         Accumulated Depreciation- Land Imp,,,,,,
,,,,,10,16300,Buildings- Operating,,,,,,
,,,,,8,16350,Accumulated Depreciation- Bldg Op,,,,,,
,,,,,10,16400,Leasehold Improvements,,,,,,
,,,,,8,16450,Accumulated Depreciation- Leasehold,,,,,,
,,,,,10,16500,"Furniture, Fixtures & Equipment",,,,,,
,,,,,8,16550,Accumulated Depreciation- FFE,,,,,,
,,,,,10,16600,Vehicles,,,,,,
,,,,,8,16650,Accumulated Depreciation- Vehicles,,,,,,
